student_id,interests,program_id,program_name,field_tags,institution_id,institution_name,website,locations,overall_ranking
S000123,data science;education,23,Information Technology,Public Health;Information Technology,1,Australian Catholic University (ACU),https://www.acu.edu.au,Sydney,103
S000123,data science;education,151,Information Technology,Sustainable Design;Information Technology;Nursing,5,Bond University,https://bond.edu.au,Perth,107
S000123,data science;education,211,Information Technology,Design;Information Technology;Renewable Energy,7,Charles Sturt University,https://study.csu.edu.au,Canberra,189
S000123,data science;education,259,Education,Education;Psychology;Education,9,Curtin University,https://www.unsw.edu.au,Wollongong,103
S000123,data science;education,276,Public Health,Environmental Science;Engineering;Design,9,Curtin University,https://www.unsw.edu.au,Wollongong,103
S000123,data science;education,331,Public Health,Public Health;Public Health;Ecology,11,Edith Cowan University (ECU),https://www.sunitafe.edu.au,Geelong,467
S000123,data science;education,510,Public Health,Marketing;Public Health,17,Macquarie University,https://www.mq.edu.au,Brisbane,100
S000123,data science;education,520,Public Health,Banking;Nursing;Environmental Science,17,Macquarie University,https://www.mq.edu.au,Brisbane,100
S000123,data science;education,535,Education,Information Technology;Education,18,Monash University,https://www.monash.edu,Adelaide,360
S000123,data science;education,615,Education,Finance;Education;Renewable Energy,21,RMIT University,https://www.rmit.edu.au,Canberra,150
S000123,data science;education,654,Information Technology,Nursing;Engineering;Information Technology,22,Southern Cross University,https://www.scu.edu.au,Gold Coast,309
S000123,data science;education,720,Education,Nursing;Computer Science,24,Torrens University Australia,https://www.torrens.edu.au,Newcastle,344
S000123,data science;education,760,Public Health,Public Health;Psychology,25,The University of Adelaide,https://www.adelaide.edu.au,Geelong,492
S000123,data science;education,761,Public Health,Public Health;Data Science,25,The University of Adelaide,https://www.adelaide.edu.au,Geelong,492
S000123,data science;education,813,Education,Education;Renewable Energy,27,University of Divinity,https://divinity.edu.au,Darwin,294
S000123,data science;education,866,Public Health,Cybersecurity;Information Technology;Public Health,29,University of New England (UNE),https://www.une.edu.au,Sydney,192
S000123,data science;education,1042,Education,Cybersecurity;Computer Science;Data Science,34,University of South Australia (UniSA),https://www.unisa.edu.au,Hobart,314
S000123,data science;education,1092,Public Health,Marketing;Artificial Intelligence,36,The University of Sydney,https://www.sydney.edu.au,Gold Coast,253
S000123,data science;education,1305,Education,Finance;Ecology;Education,43,Western Sydney University (WSU),https://www.westernsydney.edu.au,Sydney,476
S000123,data science;education,1316,Education,Ecology;Accounting,43,Western Sydney University (WSU),https://www.westernsydney.edu.au,Sydney,476
S000123,data science;education,1324,Education,Education;Sustainable Design,43,Western Sydney University (WSU),https://www.westernsydney.edu.au,Sydney,476
